,ticker,sector,company_name,market_cap,market_category,analyst_consensus,stock_outstanding
0,PEP,consumergoods,PepsiCo,199222846877,Large,ModerateBuy,1381956484.995838
1,TM,consumergoods,Toyota Motor,197548501939,Large,ModerateBuy,1397979632.9983723
2,INTC,technology,Intel,192810900000,Large,Hold,4098000000.0000005
3,CICHF,financial,China Construction Bank,190633370333,Large,,250833382017.10526
4,ABT,healthcare,Abbott Labs,188596995834,Large,StrongBuy,1772361580.9980266
5,ABBV,healthcare,AbbVie,183962382776,Large,StrongBuy,1765473922.9942417
6,CSCO,technology,Cisco Systems,179584362042,Large,ModerateBuy,4225514400.9882355
7,PROSY,technology,Prosus NV,179146995202,Large,,8161594314.441914
8,PROSF,technology,Prosus,178789351473,Large,StrongBuy,1625653313.9934533
9,TMO,healthcare,Thermo Fisher,177736516403,Large,StrongBuy,396335190.9978816
10,CVX,utilities,Chevron,177370439183,Large,ModerateBuy,1925010192.999783
11,ASML,industrialgoods,ASML Holding,177178319254,Large,StrongBuy,418386509.9981109
12,ORCL,technology,Oracle,172855082433,Large,ModerateBuy,3010888040.9858913
13,XOM,utilities,Exxon Mobil,172554234192,Large,Hold,4228234113.9916687
14,COST,consumergoods,Costco,171086167469,Large,StrongBuy,441228026.99935526
15,MCD,services,McDonald's,163432644107,Large,StrongBuy,745110987.9958056
16,QCOM,technology,Qualcomm,162954480000,Large,ModerateBuy,1131000000.0
17,PDD,consumergoods,Pinduoduo,162757410093,Large,StrongBuy,1197626270.0
18,UL,consumergoods,Unilever,160633264000,Large,ModerateSell,2621300000.0
19,TMUS,technology,T Mobile US,159790385542,Large,StrongBuy,1241186775.9981358
20,CIHKY,financial,China Merchants Bank,159767721876,Large,,5028886429.839471
21,ACN,technology,Accenture,158098520885,Large,ModerateBuy,634093453.9967111
22,AVGO,technology,Broadcom,158091255194,Large,StrongBuy,404501330.99813217
23,CIHHF,financial,China Merchants Bank Co,157876233462,Large,,25219845600.958466
24,UNLVF,consumergoods,Unilever NV,155815314600,Large,ModerateBuy,2565283414.553836
25,UN,consumergoods,Unilever,154551848000,Large,ModerateBuy,2528248781.2857842
26,DHR,healthcare,Danaher,154308193381,Large,StrongBuy,710377466.9965934
27,NVO,healthcare,Novo Nordisk,153151888493,Large,Hold,2315571340.9888115
28,MDT,healthcare,Medtronic,152334965207,Large,StrongBuy,1344408835.9985878
29,NEE,utilities,NextEra Energy,148830861200,Large,StrongBuy,1959074123.9963143
30,UPS,industrialgoods,United Parcel,147379856101,Large,ModerateBuy,864397982.9970675
31,HON,industrialgoods,Honeywell International,145726100298,Large,ModerateBuy,701685767.9988444
32,BHP,basicmaterials,BHP Group,144960078625,Large,ModerateBuy,2528961594.9930215
33,TXN,technology,Texas Instruments,144667679688,Large,ModerateBuy,917942130.0
34,BHPLF,basicmaterials,BHP Group,143897914755,Large,ModerateBuy,5057923189.982426
35,BMY,healthcare,Bristol Myers,142002785391,Large,ModerateBuy,2259751517.9980903
36,RDS.A,utilities,Royal Dutch Shell A,141860881978,Large,ModerateBuy,3903711666.9785357
37,SAP,technology,SAP AG,140958114093,Large,ModerateBuy,1193649877.9998305
38,AAIGF,financial,AIA Group,140255600000,Large,,12091000000.0
39,WXIBF,healthcare,Wuxi Biologics (Cayman),139814542453,Large,,4406383310.841475
