,ticker,sector,company_name,market_cap,market_category,analyst_consensus,stock_outstanding
0,SSLZY,utilities,Santos,9946640345,Medium,,2072216738.5416667
1,WLK,basicmaterials,Westlake Chemical,9939300981,Medium,Hold,127721677.98766385
2,CMCLF,basicmaterials,China Molybdenum Co,9935650668,Medium,,21599240582.608696
3,ICLR,healthcare,Icon,9934939494,Medium,ModerateBuy,52775242.996015936
4,SURRF,consumergoods,Sun Art Retail Group,9921292888,Medium,ModerateSell,9539704700.0
5,CBOE,financial,Cboe Global Markets,9919328767,Medium,ModerateBuy,108041920.99989107
6,BRPBF,financial,Banco Santander Rio SA,9882495137,Medium,,
7,WB,technology,Weibo,9878272440,Medium,StrongBuy,226462000.0
8,PLAN,technology,Anaplan,9828732020,Medium,ModerateBuy,139771501.99089876
9,FWONK,services,Liberty Media Liberty Formula One,9825170053,Medium,StrongBuy,231780373.9797122
10,CREE,technology,Cree,9800398800,Medium,ModerateBuy,110340000.00000001
11,IVBXF,healthcare,Innovent Biologics,9798120479,Medium,ModerateBuy,1399731497.0
12,FSLR,technology,First Solar,9797496824,Medium,Hold,105976168.99945916
13,SMUUY,financial,Siam Commercial Bank,9772677563,Medium,,832425686.7972742
14,GRBMF,consumergoods,Grupo Bimbo SAB de CV,9770089531,Medium,ModerateBuy,4523189597.6851845
15,SBGOF,financial,Standard Bank Group,9769738959,Medium,,1889698057.8336558
16,CHUEF,utilities,Chubu Electric Power Company,9756793494,Medium,,756340580.9302325
17,NISTF,basicmaterials,NIPPON STEEL,9750037227,Medium,,773198828.4694687
18,ZNH,industrialgoods,China Southern Airlines Company,9749436294,Medium,StrongBuy,306586046.9811321
19,PNW,utilities,Pinnacle West Capital,9741873751,Medium,Hold,112596783.99214055
20,MXGBF,consumergoods,Molson Coors Canada,9718128985,Medium,,
21,EBR.B,utilities,Centrais Elc Braz Pfb B Elbras,9712591767,Medium,,1569077829.8869143
22,CJRCF,basicmaterials,China Resources Cement Holdings,9706283565,Medium,ModerateBuy,
23,LNC,financial,Lincoln National,9699987916,Medium,Hold,193265349.99003786
24,HKTTF,technology,HKT and HKT,9696950187,Medium,,7236529990.298507
25,AHEXY,services,Adecco Group AG,9690933721,Medium,ModerateBuy,324328437.7844712
26,BSY,technology,Bentley Systems,9687257815,Medium,ModerateBuy,271579977.99271095
27,TTC,industrialgoods,The Toro Company,9684671537,Medium,ModerateBuy,107297490.99268779
28,EFGSY,industrialgoods,Eiffage SA,9677500000,Medium,,481228244.6544008
29,MMP,industrialgoods,Magellan Midstream,9677302794,Medium,StrongBuy,223700942.99583912
30,PWR,industrialgoods,Quanta Services,9677216121,Medium,StrongBuy,138860900.0
31,ADTTF,technology,Advantest,9673024401,Medium,,
32,BDNNY,basicmaterials,Boliden,9663149565,Medium,,139479641.52713627
33,CIG,utilities,Companhia Energetica Minas Gerais,9652462396,Medium,,4005171118.672199
34,CNA,financial,CNA Financial,9650581389,Medium,Hold,271388677.9808774
35,AEXAY,technology,Atos SE,9647016307,Medium,,547503763.1668558
36,IAUGF,financial,Insurance Australia Group,9637049847,Medium,,2439759454.936709
37,XPO,industrialgoods,XPO Logistics,9637044780,Medium,StrongBuy,91415715.99317017
38,TKGSF,utilities,TOKYO GAS Co,9636097189,Medium,,387302941.6800643
39,GLIBA,technology,GCI Liberty,9635659397,Medium,ModerateBuy,105839843.99165201
40,KOF,consumergoods,Coca Cola Femsa SAB De CV,9623912583,Medium,Hold,210083225.99869022
41,SBSW,basicmaterials,Sibanye Stillwater,9615943101,Medium,ModerateBuy,731250425.931559
42,GLPI,financial,Gaming and Leisure,9614789099,Medium,StrongBuy,228705734.99048525
43,CPT,financial,Camden Property,9605150028,Medium,ModerateBuy,97395558.99411884
44,ACCYY,services,Accor SA,9597973772,Medium,,1305846771.7006803
45,TS,basicmaterials,Tenaris SA,9574153691,Medium,Hold,590268414.9815043
46,BWA,industrialgoods,BorgWarner,9563125027,Medium,ModerateBuy,244518665.9933521
