,ticker,sector,company_name,market_cap,market_category,analyst_consensus,stock_outstanding
0,FGELF,industrialgoods,Fujitsu General,1998366130,Small,,
1,ADDLF,healthcare,AddLife AB,1990195533,Small,,
2,EPC,consumergoods,Edgewell Personal Care,1983964179,Small,Hold,54355182.98630137
3,MCSHF,consumergoods,Metcash,1983383872,Small,ModerateBuy,889409808.0717489
4,GEF.B,basicmaterials,Greif Class B,1983371178,Small,,39635714.988009594
5,JW.A,services,John Wiley Sons Cl A,1983085811,Small,,56003552.97938436
6,PRLD,healthcare,Prelude Therapeutics,1981948328,Small,Hold,43703380.99228225
7,BDN,financial,Brandywine Realty,1980352112,Small,ModerateBuy,170572963.9965547
8,IGMS,healthcare,IGM Biosciences,1980188119,Small,ModerateBuy,30700590.992248062
9,MYOV,healthcare,Myovant Sciences,1979470400,Small,StrongBuy,90593610.98398168
10,CIOXY,services,Cielo SA,1976222251,Small,ModerateSell,2823174644.2857146
11,ATZAF,consumergoods,Aritzia,1973767683,Small,StrongBuy,109471307.98668885
12,AKEJF,consumergoods,ARIAKE JAPAN Co,1972944346,Small,,
13,TGNOF,consumergoods,Trigano SA,1972203582,Small,StrongBuy,
14,NMIH,financial,NMI Holdings,1966821864,Small,StrongBuy,84813361.9663648
15,WBRBF,industrialgoods,Wienerberger AG,1966175686,Small,ModerateBuy,
16,JEMC,consumergoods,J.E.M. Capital,1964536000,Small,,19645360000.0
17,ATRC,healthcare,Atricure,1964362826,Small,StrongBuy,45023213.98120559
18,EFGXY,financial,EFG International,1964110276,Small,,299864164.2748092
19,INT,industrialgoods,World Fuel Services,1962846201,Small,,63501979.97411841
20,CNK,services,Cinemark Holdings,1962611572,Small,ModerateBuy,118158432.99217339
21,SASDF,industrialgoods,SAS AB,1961830608,Small,,7266039288.888888
22,RUSHB,industrialgoods,Rush Enterprises B,1961225885,Small,,54736976.97460229
23,FIT,consumergoods,Fitbit,1959047450,Small,,272468351.87760776
24,MTOR,industrialgoods,Meritor,1956752356,Small,ModerateBuy,72311616.9992609
25,OI,basicmaterials,O-I Glass,1956712852,Small,Hold,157165690.9236948
26,JOE,financial,St Joe Company,1956078277,Small,,58882548.97652017
27,PRAA,services,Pra Group,1955837070,Small,Hold,45579982.98764857
28,MTWTF,industrialgoods,METAWATER Co,1955098260,Small,,
29,FTMNF,basicmaterials,Lundin Gold,1954983144,Small,StrongBuy,229998016.94117647
30,HMCTF,industrialgoods,Hainan Meilan International Airport Company,1954369690,Small,ModerateBuy,502408660.66838044
31,BFEHF,healthcare,Bachem Holding AG,1948262568,Small,,
32,FSHUF,services,Fu Shou Yuan International Group,1947562858,Small,,
33,TRQ,basicmaterials,Turquoise Hill Resources,1943895613,Small,StrongBuy,201231429.91718426
34,FSS,industrialgoods,Federal Signal,1942801589,Small,,60523413.98753894
35,MLI,industrialgoods,Mueller Industries,1936732034,Small,,57080224.99263189
36,RCII,financial,Rent-A-Center,1932260522,Small,ModerateBuy,54170465.99383235
37,PARXF,utilities,Parex Resources,1930326113,Small,StrongBuy,134893508.94479385
38,ATKR,industrialgoods,Atkore International Group,1924841371,Small,ModerateBuy,47409885.98522168
39,SJW,utilities,SJW,1924689767,Small,ModerateBuy,28556227.99703264
40,ELY,consumergoods,Callaway Golf,1922204554,Small,StrongBuy,94179546.9867712
41,PRSC,industrialgoods,The Providence Service,1922024243,Small,ModerateBuy,14183633.997490961
42,CUB,technology,Cubic,1920130981,Small,ModerateBuy,31524067.985552456
43,PADEF,basicmaterials,PT Adaro Energy Tbk,1919157720,Small,,
44,ALGGF,financial,Alliance Global Group,1918572115,Small,,9592860575.0
45,JRHIF,financial,Daiwa Securities Living Investment,1917169645,Small,,
46,ENLC,industrialgoods,EnLink Midstream,1914909995,Small,ModerateSell,489746801.7902813
47,CTRE,financial,CareTrust REIT,1914715520,Small,ModerateBuy,95735776.0
48,MWA,industrialgoods,Mueller Water Products,1914619543,Small,ModerateBuy,158102356.97770438
49,WHD,industrialgoods,Cactus,1914270111,Small,ModerateBuy,75364965.0
50,FRME,financial,First Merchants,1914222098,Small,ModerateBuy,54257995.975056686
51,CADE,financial,Cadence Bancorporation,1908574744,Small,ModerateBuy,125978530.95709571
52,GEAHF,services,Great Eagle Holdings,1907788000,Small,,719920000.0
53,SNBR,consumergoods,Sleep Number,1907738610,Small,ModerateBuy,27757000.0
54,OLMA,healthcare,Olema Pharmaceuticals,1906727031,Small,,38519738.0
55,CNPPF,financial,China Overseas Property Holdings,1906379066,Small,Hold,3286860458.62069
56,CTMLF,services,Corporate Travel Management,1904500203,Small,ModerateBuy,121849021.30518234
57,CALM,consumergoods,Cal-Maine Foods,1904051072,Small,ModerateBuy,48771800.0
58,HUBG,industrialgoods,Hub Group,1903542971,Small,ModerateBuy,34156521.99892338
59,SILK,healthcare,Silk Road Medical,1902380042,Small,ModerateBuy,33958943.98429132
60,FGETF,services,Flight Centre Travel Group,1899705447,Small,Hold,
61,MSGE,services,Madison Square Garden Entertainment,1899308490,Small,StrongBuy,24142728.99453413
62,AFXXF,services,AF Poyry AB,1897968768,Small,,
63,KRON,healthcare,Kronos Bio,1896173775,Small,StrongBuy,56033503.989361696
64,KLIC,technology,Kulicke & Soffa,1894996153,Small,ModerateBuy,62029333.977086745
65,TAC,utilities,TransAlta,1891980000,Small,ModerateBuy,274200000.0
66,PHMMF,healthcare,Pharma Mar SA,1891900006,Small,Hold,17317162.52631579
67,CYBQF,healthcare,CYBERDYNE,1891092536,Small,,219639086.6434379
68,WAFD,financial,Washington Federal,1890720312,Small,Hold,75689363.97117694
69,GB,financial,Global Blue Group Holding,1889707202,Small,,167824795.91474244
70,BANF,financial,BancFirst,1887401034,Small,,32682268.987012986
71,FBC,financial,Flagstar Bancorp,1883379979,Small,StrongBuy,52564330.979626015
72,LUNG,healthcare,Pulmonx,1883320718,Small,ModerateBuy,35668952.99242424
73,ORRAF,basicmaterials,Orora,1882302326,Small,Hold,927242525.1231529
74,PREKF,utilities,PrairieSky Royalty,1881749100,Small,StrongBuy,223220533.8078292
75,KGGNF,consumergoods,Kogan,1881611780,Small,ModerateBuy,
76,MEDGF,healthcare,Medacta Group SA,1880000000,Small,Hold,
77,CFPZF,basicmaterials,Canfor,1875786612,Small,StrongBuy,125219400.0
78,CPK,utilities,Chesapeake Utilities,1873555213,Small,ModerateBuy,17460905.992544267
79,FIX,industrialgoods,Comfort Systems,1870690201,Small,,36394750.9922179
80,ZNTL,healthcare,Zentalis Pharmaceuticals,1869861976,Small,StrongBuy,40613856.99391833
81,ATSG,industrialgoods,Air Transport Services,1868139289,Small,ModerateBuy,59589769.984051034
82,TKSHF,consumergoods,Takashimaya Company,1865048284,Small,,
83,PHR,technology,Phreesia,1864774903,Small,StrongBuy,43722740.98475967
84,IRWD,healthcare,Ironwood Pharma,1861929435,Small,Hold,160097113.92949268
85,GARPF,basicmaterials,Golden Agri-Resources,1860657910,Small,,12404386066.666668
86,IDBHF,basicmaterials,Industrias Bachoco SAB de CV,1860000000,Small,,
87,GSBD,financial,Goldman Sachs BDC,1859094314,Small,Hold,101534369.96176954
88,SVLPF,financial,Savills,1858392877,Small,,147725983.86327505
89,YZOFF,technology,Yangtze Optical Fibre and Cable Joint Stock Co,1856867514,Small,,
90,PRO,technology,PROS Holdings,1855108209,Small,ModerateBuy,43434984.991805196
91,RPAI,financial,Retail Properties of America,1849000171,Small,Hold,214252626.99884123
92,YACAF,basicmaterials,Yancoal Australia,1848615211,Small,,
93,GBIO,healthcare,Generation Bio,1848564716,Small,,46516474.98741822
94,OMI,healthcare,Owens & Minor,1847363571,Small,ModerateBuy,73512278.98925588
95,NAVI,financial,Navient,1840447180,Small,StrongBuy,186280078.9473684
96,PDCE,utilities,PDC Energy,1838315066,Small,StrongBuy,99637672.95392954
97,AAT,financial,American Assets,1838026505,Small,,60282928.9931125
98,EDIT,healthcare,Editas Medicine,1835742720,Small,Hold,62334217.99660441
99,IDCC,technology,InterDigital,1835146898,Small,ModerateBuy,30806561.99429243
100,THRM,industrialgoods,Gentherm,1834251610,Small,StrongBuy,32690279.985742293
101,PING,technology,Ping Identity Holding,1833916838,Small,ModerateBuy,81110872.97655904
102,PRGS,technology,Progress Software,1833382966,Small,ModerateBuy,45101671.980319805
103,LGYRF,industrialgoods,Landis+Gyr Group AG,1831229949,Small,ModerateBuy,
104,ATTRF,financial,Ascott Residence,1829668470,Small,,
105,KANKF,basicmaterials,Kaneka,1826326628,Small,,
106,IMHDF,consumergoods,Isetan Mitsukoshi Holdings,1825884984,Small,,
107,FBBPF,financial,"Prologis Property Mexico, S.A. de C.V.",1825748855,Small,Hold,853153670.5607476
108,KUKAF,industrialgoods,KUKA AG,1824898563,Small,,39775469.986922406
109,LOB,financial,Live Oak Bancshares,1824843760,Small,ModerateBuy,40642400.0
110,FBP,financial,First Bancorp Puerto Rico,1824393612,Small,,218228900.95693782
111,SUWCF,basicmaterials,Schouw & Co,1822467363,Small,,
112,ATI,basicmaterials,Allegheny Technologies,1822352300,Small,ModerateSell,126816443.98051497
113,PBH,healthcare,Prestige Brand Holdings,1822275278,Small,Hold,50103801.97965357
114,BEAT,healthcare,BioTelemetry,1818905818,Small,ModerateBuy,34260798.98285929
